제목,주최사,url,장소,장르,시작일,종료일,등록일
IBK 고객감사 콘서트,IBK기업은행,https://www.sac.or.kr/site/main/show/show_view?SN=45565,IBK챔버홀,클래식,2022-11-10,2022-11-10,2021-03-04
한화생명과 함께하는 예술의전당 11시 콘서트(11월),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=45382,콘서트홀,클래식,2022-11-10,2022-11-10,2021-02-09
제75회 크누아심포니오케스트라 정기연주회,한국예술종합학교,https://www.sac.or.kr/site/main/show/show_view?SN=47823,콘서트홀,교향곡,2022-11-10,2022-11-10,2022-02-10
펠릭스 클리저 호른 리사이틀,(주)인아츠프로덕션,https://www.sac.or.kr/site/main/show/show_view?SN=46689,IBK챔버홀,클래식,2022-11-09,2022-11-09,2021-07-14
글로리아 and 딕시트 도미누스,"서울신학대학교, 서울신학대학교 교회음악과, 서울신학대학교 교회음악연구소",https://www.sac.or.kr/site/main/show/show_view?SN=49084,콘서트홀,합창,2022-11-09,2022-11-09,2022-07-28
2022 서울바흐축제 - 실내악 시리즈,콜레기움 보칼레 서울,https://www.sac.or.kr/site/main/show/show_view?SN=47276,리사이틀홀,실내악,2022-11-09,2022-11-09,2021-10-22
화음챔버오케스트라 미술관 순례 Ⅱ,(사)화음,https://www.sac.or.kr/site/main/show/show_view?SN=48564,인춘아트홀,실내악,2022-11-09,2022-11-09,2022-05-26
이차크 펄만 바이올린 리사이틀,크레디아뮤직앤아티스트,https://www.sac.or.kr/site/main/show/show_view?SN=46688,콘서트홀,독주,2022-11-09,2022-11-09,2021-07-16
공예욱 귀국 첼로 독주회,이든예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46691,리사이틀홀,독주,2022-11-08,2022-11-08,2021-07-15
이수정 피아노 독주회,조인클래식,https://www.sac.or.kr/site/main/show/show_view?SN=46955,인춘아트홀,독주,2022-11-08,2022-11-08,2021-08-12
김선욱 & 유럽 챔버 오케스트라,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=46690,콘서트홀,클래식,2022-11-08,2022-11-08,2021-07-14
(사)한국페스티발앙상블 제74회 정기연주회,(사)한국페스티발앙상블,https://www.sac.or.kr/site/main/show/show_view?SN=46692,IBK챔버홀,실내악,2022-11-08,2022-11-08,2021-07-14
권명 바이올린 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46696,리사이틀홀,독주,2022-11-06,2022-11-06,2021-07-16
