제목,주최사,url,장소,장르,시작일,종료일,등록일
내일의 예술전,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48382,한가람디자인미술관,뮤지컬,2023-10-24,2023-11-12,2022-04-27
체코 필하모닉,(주)인아츠프로덕션,https://www.sac.or.kr/site/main/show/show_view?SN=49258,콘서트홀,교향곡,2023-10-24,2023-10-24,2022-09-21
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48498,IBK챔버홀,뮤지컬,2023-10-24,2023-10-24,2022-05-03
제11회 아니마 체임버 정기연주회,스튜디오칸투스,https://www.sac.or.kr/site/main/show/show_view?SN=48726,리사이틀홀,실내악,2023-10-24,2023-10-24,2022-06-24
2023 체코 필하모닉 내한공연,WCN코리아(주),https://www.sac.or.kr/site/main/show/show_view?SN=48948,콘서트홀,교향곡,2023-10-24,2023-10-24,2022-06-17
첼리스트 박경옥의 프로포즈 VII,박경옥,https://www.sac.or.kr/site/main/show/show_view?SN=48725,IBK챔버홀,실내악,2023-10-24,2023-10-24,2022-06-23
화음챔버오케스트라 미술관 순례 Ⅱ,(사)화음,https://www.sac.or.kr/site/main/show/show_view?SN=48704,인춘아트홀,실내악,2023-10-24,2023-10-24,2022-06-24
디즈니 100주년 기념 특별 콘서트 <킹스 싱어즈>,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=48949,콘서트홀,클래식,2023-10-22,2023-10-22,2022-06-24
이길재 귀국 첼로 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=49218,리사이틀홀,독주,2023-10-22,2023-10-22,2022-09-23
알렉산더 가지예프 피아노 리사이틀,(주)스톰프뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=49274,IBK챔버홀,클래식,2023-10-22,2023-10-22,2022-09-23
김신애 윤보연 듀오 콘서트,이든예술기획 주식회사,https://www.sac.or.kr/site/main/show/show_view?SN=49217,인춘아트홀,실내악,2023-10-22,2023-10-22,2022-09-22
임주연 호른 귀국 독주회,투픽스,https://www.sac.or.kr/site/main/show/show_view?SN=60266,리사이틀홀,독주,2023-10-22,2023-10-22,2022-11-08
제163회 서울신포니에타 정기연주회,서울신포니에타,https://www.sac.or.kr/site/main/show/show_view?SN=63541,IBK챔버홀,클래식,2023-10-21,2023-10-21,2023-06-18
키크니월드,디자인그룹서현,https://www.sac.or.kr/site/main/show/show_view?SN=61320,한가람미술관,전시,2023-10-21,2023-12-27,2023-01-27
이송희 첼로 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=48950,리사이틀홀,독주,2023-10-21,2023-10-21,2022-06-22
신세계와 함께하는 2023 예술의전당 토요콘서트(10월),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47403,콘서트홀,뮤지컬,2023-10-21,2023-10-21,2021-11-27
이루이사 쳄발로 독주회,이루이사,https://www.sac.or.kr/site/main/show/show_view?SN=48699,인춘아트홀,독주,2023-10-21,2023-10-21,2022-06-24
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48594,IBK챔버홀,뮤지컬,2023-10-21,2023-10-21,2022-06-10
"코리아나 챔버 뮤직 소사이어티 25주년 기념 연주회 시리즈 II ""클래식의 품격""",코리아나 챔버 뮤직 소사이어티,https://www.sac.or.kr/site/main/show/show_view?SN=63043,IBK챔버홀,실내악,2023-10-21,2023-10-21,2023-06-21
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48593,IBK챔버홀,뮤지컬,2023-10-21,2023-10-21,2022-06-10
고관수 오보에 독주회,위드클래식,https://www.sac.or.kr/site/main/show/show_view?SN=48751,리사이틀홀,독주,2023-10-21,2023-10-21,2022-06-20
한국프랑스가곡연구회 제88회 정기연주회,한국프랑스가곡연구회,https://www.sac.or.kr/site/main/show/show_view?SN=48752,리사이틀홀,성악,2023-10-20,2023-10-20,2022-06-24
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48595,IBK챔버홀,뮤지컬,2023-10-20,2023-10-20,2022-06-10
심소정 하프 독주회,(주)더존테크윌,https://www.sac.or.kr/site/main/show/show_view?SN=60297,인춘아트홀,독주,2023-10-20,2023-10-20,2022-11-11
"국립합창단 제195회 정기연주회 <로시니(Rossini), 스타바트 마테르(Stabat Mater)>",(재)국립합창단,https://www.sac.or.kr/site/main/show/show_view?SN=48951,콘서트홀,합창,2023-10-20,2023-10-20,2022-06-23
예술의전당 유료/제휴사 회원 이벤트 Book Talk,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=65142,리사이틀홀,뮤지컬,2023-10-20,2023-10-20,2023-09-13
대학오케스트라 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47404,콘서트홀,뮤지컬,2023-10-20,2023-10-20,2021-11-27
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48499,IBK챔버홀,뮤지컬,2023-10-20,2023-10-20,2022-05-03
트리오 아티스트리 제5회 정기연주회,TRIO ARTISTRY,https://www.sac.or.kr/site/main/show/show_view?SN=63794,IBK챔버홀,실내악,2023-10-20,2023-10-20,2023-06-22
이드리스 칸．애니 모리스 특별展,(주)아트앤크리에이티브,https://www.sac.or.kr/site/main/show/show_view?SN=49112,한가람미술관,전시,2023-10-19,2023-12-07,2022-06-10
고성현 & 고영열 듀오 리사이틀,서울예술기획(주),https://www.sac.or.kr/site/main/show/show_view?SN=63860,IBK챔버홀,클래식,2023-10-19,2023-10-19,2023-06-22
한국슈베르트협회 74회 정기연주회,한국슈베르트협회,https://www.sac.or.kr/site/main/show/show_view?SN=48753,리사이틀홀,성악,2023-10-19,2023-10-19,2022-06-24
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48596,IBK챔버홀,뮤지컬,2023-10-19,2023-10-19,2022-06-10
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48500,IBK챔버홀,뮤지컬,2023-10-19,2023-10-19,2022-05-03
해설과 함께하는 첼리스트 배유미의 무반주 음악 II,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=62980,인춘아트홀,독주,2023-10-19,2023-10-19,2023-05-24
3인의 레전드 콘서트,서울예술기획(주),https://www.sac.or.kr/site/main/show/show_view?SN=65000,IBK챔버홀,성악,2023-10-19,2023-10-19,2023-08-07
예술의전당 전관 개관 30주년 특별음악회-코리안챔버오케스트라 초청 콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47405,콘서트홀,뮤지컬,2023-10-19,2023-10-19,2021-11-27
대학오케스트라 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47406,콘서트홀,뮤지컬,2023-10-18,2023-10-18,2021-11-27
예술의전당 전관 개관 30주년 특별음악회 - 황수미&안종도 듀오 콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48597,IBK챔버홀,클래식,2023-10-18,2023-10-18,2022-06-10
선우예권 피아노 리사이틀,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=48971,콘서트홀,독주,2023-10-18,2023-10-18,2022-06-24
박준영 바이올린 독주회,조인클래식,https://www.sac.or.kr/site/main/show/show_view?SN=48952,리사이틀홀,독주,2023-10-18,2023-10-18,2022-06-24
정성희 피아노 독주회,CLASSICO,https://www.sac.or.kr/site/main/show/show_view?SN=60716,인춘아트홀,독주,2023-10-18,2023-10-18,2022-12-16
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48501,IBK챔버홀,뮤지컬,2023-10-18,2023-10-18,2022-05-03
화음챔버오케스트라 미술관 순례 Ⅰ,(사)화음,https://www.sac.or.kr/site/main/show/show_view?SN=48705,인춘아트홀,실내악,2023-10-17,2023-10-17,2022-06-24
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48502,IBK챔버홀,뮤지컬,2023-10-17,2023-10-17,2022-05-03
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48598,IBK챔버홀,뮤지컬,2023-10-17,2023-10-17,2022-06-10
이민영의 음악산책 III,콘서트디자인,https://www.sac.or.kr/site/main/show/show_view?SN=49203,리사이틀홀,독주,2023-10-17,2023-10-17,2022-09-23
조이오브스트링스 정기연주회,(사)조이오브스트링스,https://www.sac.or.kr/site/main/show/show_view?SN=48953,IBK챔버홀,실내악,2023-10-17,2023-10-17,2022-06-24
국립심포니오케스트라 - 버르토크 오케스트라를 위한 협주곡,(재)국립심포니오케스트라,https://www.sac.or.kr/site/main/show/show_view?SN=47709,콘서트홀,교향곡,2023-10-17,2023-10-17,2021-12-08
이나현의 트럼펫 시리즈 3,(주)더존테크윌,https://www.sac.or.kr/site/main/show/show_view?SN=48954,IBK챔버홀,독주,2023-10-15,2023-10-15,2022-06-24
손한요 클라리넷 독주회 “생명존중 음악회” (공정사회를위한 음악회),지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=48955,리사이틀홀,독주,2023-10-15,2023-10-15,2022-06-22
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48599,IBK챔버홀,뮤지컬,2023-10-15,2023-10-15,2022-06-10
박민영 귀국 플루트 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=48835,리사이틀홀,독주,2023-10-15,2023-10-15,2022-06-24
이선아 피아노 독주회,조인클래식,https://www.sac.or.kr/site/main/show/show_view?SN=60717,인춘아트홀,클래식,2023-10-15,2023-10-15,2022-12-16
제34회 이건음악회 - 베를린 슈타츠카펠레 현악 4중주단 초청 연주회,(주)이건홀딩스,https://www.sac.or.kr/site/main/show/show_view?SN=47710,콘서트홀,교향곡,2023-10-15,2023-10-15,2021-12-09
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48600,IBK챔버홀,뮤지컬,2023-10-14,2023-10-14,2022-06-10
토요콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47920,인춘아트홀,뮤지컬,2023-10-14,2023-10-14,2022-03-11
2023 서울국제음악제 폐막음악회 : SIMF오케스트라 with 바실리 페트렌코 ‘낭만에 관하여`,서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=47711,콘서트홀,클래식,2023-10-14,2023-10-14,2021-12-09
윤은솔 바이올린 리사이틀,주식회사 목프로덕션,https://www.sac.or.kr/site/main/show/show_view?SN=48754,IBK챔버홀,독주,2023-10-14,2023-10-14,2022-06-24
예술의전당 SAC TOUR_ 10/14(토),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=65401,예술의전당,뮤지컬,2023-10-14,2023-10-14,2023-10-03
첼리스트 이호찬 리사이틀,(주)스테이지원,https://www.sac.or.kr/site/main/show/show_view?SN=60267,리사이틀홀,독주,2023-10-14,2023-10-14,2022-11-11
박상현 콘트라베이스 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=48956,리사이틀홀,독주,2023-10-14,2023-10-14,2022-06-20
제17회 아카데미 열정과 나눔 정기연주회,아카데미 열정과 나눔,https://www.sac.or.kr/site/main/show/show_view?SN=48815,IBK챔버홀,실내악,2023-10-14,2023-10-14,2022-06-23
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48601,IBK챔버홀,뮤지컬,2023-10-14,2023-10-14,2022-06-10
모나코-몬테카를로 발레단 <로미오와 줄리엣>,"한경미디어그룹, 라보라 예술기획",https://www.sac.or.kr/site/main/show/show_view?SN=62780,오페라극장,발레,2023-10-13,2023-10-15,2023-05-31
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48503,IBK챔버홀,뮤지컬,2023-10-13,2023-10-13,2022-05-03
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48602,IBK챔버홀,뮤지컬,2023-10-13,2023-10-13,2022-06-10
김문정 피아노 독주회 - 프리토크 시리즈 X,이든예술기획 주식회사,https://www.sac.or.kr/site/main/show/show_view?SN=49219,리사이틀홀,독주,2023-10-13,2023-10-13,2022-09-22
박아름 바이올린 독주회,투픽스,https://www.sac.or.kr/site/main/show/show_view?SN=60500,인춘아트홀,클래식,2023-10-13,2023-10-13,2022-12-14
취리히 톤할레 오케스트라,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=47712,콘서트홀,교향곡,2023-10-13,2023-10-13,2021-12-10
첼리스트 김두민 앨범 발매 기념 리사이틀,프레스토 아트,https://www.sac.or.kr/site/main/show/show_view?SN=48957,IBK챔버홀,클래식,2023-10-13,2023-10-13,2022-06-24
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48504,IBK챔버홀,뮤지컬,2023-10-12,2023-10-12,2022-05-03
한화생명과 함께하는 예술의전당 11시 콘서트(10월),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47337,콘서트홀,클래식,2023-10-12,2023-10-12,2021-11-26
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48603,IBK챔버홀,뮤지컬,2023-10-12,2023-10-12,2022-06-10
미래악회 제48회 작품발표회,미래악회,https://www.sac.or.kr/site/main/show/show_view?SN=48780,리사이틀홀,실내악,2023-10-12,2023-10-12,2022-06-23
2023 서울국제음악제  The Best of Brahms : 피아노 works,서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=48958,IBK챔버홀,실내악,2023-10-12,2023-10-12,2022-06-22
임태훈 호른 독주회,J S Classic,https://www.sac.or.kr/site/main/show/show_view?SN=63542,인춘아트홀,독주,2023-10-12,2023-10-12,2023-06-18
예술의전당 인춘아트홀 Special THE NEXT (피아니스트 김준형),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=49154,인춘아트홀,독주,2023-10-11,2023-10-11,2022-09-16
2023 대한민국 실내악 작곡제전 IV,(사)한국작곡가협회,https://www.sac.or.kr/site/main/show/show_view?SN=48781,리사이틀홀,실내악,2023-10-11,2023-10-11,2022-06-23
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48604,IBK챔버홀,뮤지컬,2023-10-11,2023-10-11,2022-06-10
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48505,IBK챔버홀,뮤지컬,2023-10-11,2023-10-11,2022-05-03
2023 앙상블 에클라 정기 연주회,앙상블 에클라,https://www.sac.or.kr/site/main/show/show_view?SN=48782,IBK챔버홀,실내악,2023-10-11,2023-10-11,2022-06-23
2023 서울국제음악제 : SIMF오케스트라 with 파올로 보르톨라메올리 ‘Brahms’,서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=48960,콘서트홀,클래식,2023-10-11,2023-10-11,2022-06-15
최서희 귀국 바이올린 독주회,음악교육신문사,https://www.sac.or.kr/site/main/show/show_view?SN=60718,인춘아트홀,클래식,2023-10-10,2023-10-10,2022-12-16
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48506,IBK챔버홀,뮤지컬,2023-10-10,2023-10-10,2022-05-03
제15회 세일 한국가곡의 밤,(재)세일음악문화재단,https://www.sac.or.kr/site/main/show/show_view?SN=48755,콘서트홀,성악,2023-10-10,2023-10-10,2022-06-15
이진현 피아노 독주회,크레센도아트,https://www.sac.or.kr/site/main/show/show_view?SN=48706,리사이틀홀,독주,2023-10-10,2023-10-10,2022-06-23
2023 서울국제음악제 : 핀란드에서 온 편지,서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=48961,IBK챔버홀,실내악,2023-10-10,2023-10-10,2022-06-22
바닷마을 다이어리,라이브러리컴퍼니,https://www.sac.or.kr/site/main/show/show_view?SN=62800,자유소극장,연극,2023-10-08,2023-11-19,2023-06-01
2023 서울국제음악제  The Best of Brahms : 실내악 2,서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=48963,IBK챔버홀,실내악,2023-10-08,2023-10-08,2022-06-22
런던 필하모닉,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=47713,콘서트홀,교향곡,2023-10-08,2023-10-08,2021-12-10
이경원 바이올린&비올라 독주회,J S Classic,https://www.sac.or.kr/site/main/show/show_view?SN=48857,리사이틀홀,독주,2023-10-08,2023-10-08,2022-06-15
이진화 피아노 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=48962,인춘아트홀,독주,2023-10-08,2023-10-08,2022-06-24
이소민 귀국 클라리넷 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=48727,리사이틀홀,독주,2023-10-08,2023-10-08,2022-06-24
이은호 바순 독주회,마에스트로 컴퍼니,https://www.sac.or.kr/site/main/show/show_view?SN=65040,리사이틀홀,독주,2023-10-07,2023-10-07,2023-08-11
2023 서울국제음악제 개막음악회 The Best of Brahms : 실내악 1,서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=48966,IBK챔버홀,실내악,2023-10-07,2023-10-07,2022-06-22
KCO 첼로 앙상블 제9회 정기연주회,영음예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=48836,IBK챔버홀,실내악,2023-10-07,2023-10-07,2022-06-24
트로이 앙상블 창단 연주회,주식회사 원아트,https://www.sac.or.kr/site/main/show/show_view?SN=64941,IBK챔버홀,클래식,2023-10-07,2023-10-07,2023-08-09
오늘의 음악가 시리즈4,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48625,인춘아트홀,뮤지컬,2023-10-07,2023-10-07,2022-06-11
홍지영의 첼로 이야기,스토리피아노,https://www.sac.or.kr/site/main/show/show_view?SN=49189,인춘아트홀,콘서트,2023-10-07,2023-10-07,2022-09-21
The Piri 오보에 앙상블 제17회 정기연주회,프로아트엔터테인먼트,https://www.sac.or.kr/site/main/show/show_view?SN=48965,리사이틀홀,실내악,2023-10-07,2023-10-07,2022-06-22
런던 필하모닉,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=47714,콘서트홀,교향곡,2023-10-07,2023-10-07,2021-12-10
최지호 첼로 독주회,이든예술기획 주식회사,https://www.sac.or.kr/site/main/show/show_view?SN=48964,리사이틀홀,독주,2023-10-07,2023-10-07,2022-06-23
유니버설발레단 <돈키호테>,(재)효정한국문화재단,https://www.sac.or.kr/site/main/show/show_view?SN=47492,오페라극장,발레,2023-10-06,2023-10-08,2021-11-30
이은결  [더 일루션 - 마스터피스],(주)이지,https://www.sac.or.kr/site/main/show/show_view?SN=47493,CJ 토월극장,기타,2023-10-06,2023-10-22,2021-12-08
2023 서울국제음악제 개막음악회  '바그너 갈라',서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=47715,콘서트홀,클래식,2023-10-06,2023-10-06,2021-12-09
나윤주 첼로 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=48967,리사이틀홀,독주,2023-10-06,2023-10-06,2022-06-20
유시연의 테마콘서트 XVII - 20주년 기념음악회,(주)음연,https://www.sac.or.kr/site/main/show/show_view?SN=48816,IBK챔버홀,독주,2023-10-06,2023-10-06,2022-06-22
피아노 소협주곡 콘서트,서울국제문화예술교육센터,https://www.sac.or.kr/site/main/show/show_view?SN=60719,인춘아트홀,실내악,2023-10-06,2023-10-06,2022-12-16
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48507,IBK챔버홀,뮤지컬,2023-10-06,2023-10-06,2022-05-03
아티스트 시리즈4,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48605,리사이틀홀,뮤지컬,2023-10-05,2023-10-05,2022-06-10
런던 필하모닉,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=48968,콘서트홀,교향곡,2023-10-05,2023-10-05,2022-06-24
모브아트컴퍼니 <스펙트럼 Ⅰ>'클래식총체극_새머리이야기',주식회사 모브아트컴퍼니,https://www.sac.or.kr/site/main/show/show_view?SN=49053,IBK챔버홀,복합장르,2023-10-05,2023-10-05,2022-06-23
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48508,IBK챔버홀,뮤지컬,2023-10-05,2023-10-05,2022-05-03
라세원 비올라 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=60298,리사이틀홀,독주,2023-10-05,2023-10-05,2022-11-10
장민 기타 독주회,J S Classic,https://www.sac.or.kr/site/main/show/show_view?SN=63543,인춘아트홀,독주,2023-10-05,2023-10-05,2023-06-18
윤철희 피아노 독주회,(사)한국공연예술가협회,https://www.sac.or.kr/site/main/show/show_view?SN=62981,IBK챔버홀,독주,2023-10-05,2023-10-05,2023-05-22
바리톤김동규 와 더 소프라노즈  <시월의 어느 멋진 날에>,(주)플러스엔터테인먼트,https://www.sac.or.kr/site/main/show/show_view?SN=65060,콘서트홀,클래식,2023-10-05,2023-10-05,2023-08-10
공연사업부_기자간담회,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=60460,인춘아트홀,뮤지컬,2023-10-05,2023-10-05,2022-12-23
에드 무지카 11회 정기연주회,에드 무지카,https://www.sac.or.kr/site/main/show/show_view?SN=48693,IBK챔버홀,실내악,2023-10-04,2023-10-04,2022-06-24
더 뮤지컬 OST 콘서트,(주)더존테크윌,https://www.sac.or.kr/site/main/show/show_view?SN=48969,콘서트홀,클래식,2023-10-04,2023-10-04,2022-06-23
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48509,IBK챔버홀,뮤지컬,2023-10-04,2023-10-04,2022-05-03
김운성 트롬본 독주회,(주)더존테크윌,https://www.sac.or.kr/site/main/show/show_view?SN=48970,리사이틀홀,독주,2023-10-04,2023-10-04,2022-06-24
"3,4전시실 공실",예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=60913,한가람미술관,뮤지컬,2023-10-04,2023-10-05,2023-01-18
이경미 첼로 독주회,조인클래식,https://www.sac.or.kr/site/main/show/show_view?SN=60268,인춘아트홀,독주,2023-10-04,2023-10-04,2022-11-10
김연경 피아노 독주회,이든예술기획 주식회사,https://www.sac.or.kr/site/main/show/show_view?SN=62941,인춘아트홀,독주,2023-10-03,2023-10-03,2023-05-24
안드라스 쉬프 피아노 리사이틀,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=62940,콘서트홀,클래식,2023-10-03,2023-10-03,2023-05-22
ㅂ,정현주,https://www.sac.or.kr/site/main/show/show_view?SN=61121,서울서예박물관,뮤지컬,2023-10-03,2023-10-10,2023-02-25
예술의전당 전관 개관 30주년 특별음악회 - 김대진&박재홍 듀오 콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=49159,IBK챔버홀,클래식,2023-10-03,2023-10-03,2022-09-16
정승연 첼로 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=48728,리사이틀홀,독주,2023-10-03,2023-10-03,2022-06-23
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48510,IBK챔버홀,뮤지컬,2023-10-03,2023-10-03,2022-05-03
트리오 레플레르 첫번째 리사이틀,어뮤즈 사운드,https://www.sac.or.kr/site/main/show/show_view?SN=60269,인춘아트홀,교향곡,2023-10-01,2023-10-01,2022-11-11
예술의전당 기획공연 예정,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=49287,콘서트홀,뮤지컬,2023-10-01,2023-10-01,2022-11-05
퍼커션 플러스 앙상블 창단연주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=49220,IBK챔버홀,실내악,2023-10-01,2023-10-01,2022-09-23
한성은 플루트 독주회,예진문화기획사,https://www.sac.or.kr/site/main/show/show_view?SN=48870,리사이틀홀,독주,2023-10-01,2023-10-01,2022-06-24
최훈차콰이어 제25회 정기연주회,최훈차콰이어,https://www.sac.or.kr/site/main/show/show_view?SN=60741,콘서트홀,합창,2023-10-01,2023-10-01,2022-12-16
소프라노 이경민 독창회,J&R예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=48756,리사이틀홀,성악,2023-10-01,2023-10-01,2022-06-23
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48390,IBK챔버홀,뮤지컬,2023-09-29,2023-09-29,2022-04-30
7전시실 공실,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=60914,한가람미술관,뮤지컬,2023-09-29,2023-09-30,2023-01-18
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48391,IBK챔버홀,뮤지컬,2023-09-28,2023-09-28,2022-04-30
원재연 피아노 리사이틀,(주)스테이지원,https://www.sac.or.kr/site/main/show/show_view?SN=60270,IBK챔버홀,독주,2023-09-27,2023-09-27,2022-11-10
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48392,IBK챔버홀,뮤지컬,2023-09-27,2023-09-27,2022-04-30
로타트리오 제2회 정기연주회,서울국제문화예술교육센터,https://www.sac.or.kr/site/main/show/show_view?SN=48973,인춘아트홀,클래식,2023-09-27,2023-09-27,2022-06-24
크리스티안 쿠네르트 바순 독주회,(유)미상,https://www.sac.or.kr/site/main/show/show_view?SN=49259,리사이틀홀,독주,2023-09-27,2023-09-27,2022-09-23
2023 예술의전당 아티스트 라운지(9월),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47892,IBK챔버홀,뮤지컬,2023-09-27,2023-09-27,2022-03-10
한경arte필하모닉 더클래식2023 시리즈8,한국경제신문,https://www.sac.or.kr/site/main/show/show_view?SN=48972,콘서트홀,교향곡,2023-09-27,2023-09-27,2022-06-16
백은교 바이올린 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=60364,인춘아트홀,독주,2023-09-26,2023-09-26,2022-11-11
서울모테트합창단 제124회 정기연주회,재단법인 서울모테트음악재단,https://www.sac.or.kr/site/main/show/show_view?SN=47716,콘서트홀,합창,2023-09-26,2023-09-26,2021-12-09
최수지 클라리넷 독주회,위드클래식,https://www.sac.or.kr/site/main/show/show_view?SN=48837,리사이틀홀,독주,2023-09-26,2023-09-26,2022-06-24
오페라 노르마 기자간담회-공연사업부,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=62680,인춘아트홀,뮤지컬,2023-09-26,2023-09-26,2023-05-20
화음챔버오케스트라 레퍼토리 프로젝트,(사)화음,https://www.sac.or.kr/site/main/show/show_view?SN=48707,IBK챔버홀,클래식,2023-09-26,2023-09-26,2022-06-21
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48393,IBK챔버홀,뮤지컬,2023-09-26,2023-09-26,2022-04-30
피아니스트 이윤수의 슈만 전곡 시리즈 VIII,레인보우브릿지,https://www.sac.or.kr/site/main/show/show_view?SN=48694,리사이틀홀,독주,2023-09-24,2023-09-24,2022-06-24
장한나 & 미샤 마이스키 with 디토 오케스트라(24일),크레디아뮤직앤아티스트,https://www.sac.or.kr/site/main/show/show_view?SN=47717,콘서트홀,교향곡,2023-09-24,2023-09-24,2021-12-10
제3회 앙상블 무지카펠리체 정기연주회,앙상블무지카펠리체,https://www.sac.or.kr/site/main/show/show_view?SN=48838,인춘아트홀,실내악,2023-09-24,2023-09-24,2022-06-24
알테 무지크 서울 23회 정기연주회,알테무지크서울,https://www.sac.or.kr/site/main/show/show_view?SN=48871,IBK챔버홀,클래식,2023-09-24,2023-09-24,2022-06-24
이경민 바이올린 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=48817,리사이틀홀,교향곡,2023-09-24,2023-09-24,2022-06-24
제5회 어텀실내악페스티벌 <완성> - III,피케이뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=48757,IBK챔버홀,실내악,2023-09-23,2023-09-23,2022-06-24
소소살롱,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47893,IBK챔버홀,크로스오버,2023-09-23,2023-09-23,2022-03-10
